questionText,optionA,optionB,optionC,optionD,correctAnswer,createdAt
What does HTML stand for?,Hyper Text Markup Language,High Tech Modern Language,Hyper Transfer Markup Logic,Home Tool Markup Language,A,2024-01-01T00:00:00Z
Which HTML tag is used to define the root of an HTML document?,<root>,<html>,<head>,<body>,B,2024-01-01T00:00:00Z
Which tag is used to create a paragraph in HTML?,<para>,<p>,<pg>,<paragraph>,B,2024-01-01T00:00:00Z
Which HTML tag is used for the largest heading?,<h6>,<heading>,<h1>,<head>,C,2024-01-01T00:00:00Z
Which tag creates a hyperlink in HTML?,<link>,<a>,<href>,<url>,B,2024-01-01T00:00:00Z
What attribute is used to specify the URL of a hyperlink?,src,href,link,url,B,2024-01-01T00:00:00Z
Which tag is used to insert an image in HTML?,<image>,<img>,<pic>,<src>,B,2024-01-01T00:00:00Z
What attribute specifies the image source in an img tag?,href,link,src,alt,C,2024-01-01T00:00:00Z
Which tag is used to create an unordered list?,<ul>,<ol>,<li>,<list>,A,2024-01-01T00:00:00Z
Which tag is used to create an ordered list?,<ul>,<ol>,<li>,<dl>,B,2024-01-01T00:00:00Z
Which tag defines a list item?,<li>,<item>,<list>,<dt>,A,2024-01-01T00:00:00Z
Which HTML tag is used to make text bold?,<bold>,<b>,<strong>,<em>,B,2024-01-01T00:00:00Z
Which tag makes text italic in HTML?,<i>,<italic>,<em>,<slant>,A,2024-01-01T00:00:00Z
What does the br tag do?,Creates a bold text,Breaks a line,Creates a border,Defines a body,B,2024-01-01T00:00:00Z
Which tag is used to create a horizontal rule?,<line>,<hr>,<rule>,<border>,B,2024-01-01T00:00:00Z
Where is the title tag placed in an HTML document?,Inside body,Inside footer,Inside head,Inside html,C,2024-01-01T00:00:00Z
Which tag is used to define a table row?,<tr>,<td>,<th>,<row>,A,2024-01-01T00:00:00Z
Which tag defines a table header cell?,<th>,<td>,<tr>,<thead>,A,2024-01-01T00:00:00Z
Which tag defines a standard table data cell?,<td>,<th>,<tr>,<cell>,A,2024-01-01T00:00:00Z
Which tag is used to define a table in HTML?,<table>,<tab>,<grid>,<tbl>,A,2024-01-01T00:00:00Z
What does the alt attribute in an img tag do?,Changes image size,Links the image,Provides alternative text,Aligns the image,C,2024-01-01T00:00:00Z
Which HTML element is used to define important text?,<strong>,<b>,<em>,<mark>,A,2024-01-01T00:00:00Z
Which attribute opens a hyperlink in a new tab?,target=_new,target=_blank,target=_tab,target=_open,B,2024-01-01T00:00:00Z
Which tag is used to create a form in HTML?,<form>,<input>,<fieldset>,<submit>,A,2024-01-01T00:00:00Z
Which input type creates a checkbox?,type=check,type=box,type=checkbox,type=tick,C,2024-01-01T00:00:00Z
Which input type creates a radio button?,type=radio,type=button,type=circle,type=select,A,2024-01-01T00:00:00Z
Which tag is used to create a dropdown list?,<select>,<dropdown>,<list>,<option>,A,2024-01-01T00:00:00Z
Which tag defines each option inside a select element?,<item>,<li>,<option>,<opt>,C,2024-01-01T00:00:00Z
Which input type creates a single-line text box?,type=text,type=box,type=input,type=field,A,2024-01-01T00:00:00Z
Which tag creates a multi-line text input?,input type=textarea,<textarea>,<textbox>,<multiline>,B,2024-01-01T00:00:00Z
Which HTML attribute is used to define inline styles?,style,css,class,format,A,2024-01-01T00:00:00Z
Which attribute assigns a unique identifier to an element?,name,id,class,key,B,2024-01-01T00:00:00Z
Which attribute assigns a reusable class name to an element?,id,name,class,type,C,2024-01-01T00:00:00Z
What is the correct HTML element for inserting a line break?,<lb>,<break>,<br>,<newline>,C,2024-01-01T00:00:00Z
Which tag wraps the visible content of a web page?,<content>,<main>,<body>,<section>,C,2024-01-01T00:00:00Z
Which HTML5 tag defines navigation links?,<nav>,<navigate>,<menu>,<links>,A,2024-01-01T00:00:00Z
Which HTML5 tag defines a section of a document?,<div>,<section>,<article>,<aside>,B,2024-01-01T00:00:00Z
Which HTML5 element is used for self-contained content like a blog post?,<section>,<div>,<article>,<content>,C,2024-01-01T00:00:00Z
Which HTML5 tag defines content tangentially related to the main content?,<aside>,<sidebar>,<extra>,<note>,A,2024-01-01T00:00:00Z
Which HTML5 tag defines a header for a document or section?,<top>,<head>,<header>,<hgroup>,C,2024-01-01T00:00:00Z
Which HTML5 element defines a footer for a document or section?,<bottom>,<footer>,<end>,<foot>,B,2024-01-01T00:00:00Z
Which HTML5 element is used to embed video content?,<video>,<media>,<movie>,<embed>,A,2024-01-01T00:00:00Z
Which HTML5 element is used to embed audio content?,<sound>,<audio>,<music>,<media>,B,2024-01-01T00:00:00Z
Which tag is used to define a section of preformatted text?,<pre>,<code>,<format>,<text>,A,2024-01-01T00:00:00Z
What does the code tag represent?,Bold code text,A block of computer code,A comment,An inline input,B,2024-01-01T00:00:00Z
Which tag is used to display a definition term in a description list?,<dt>,<dd>,<dl>,<def>,A,2024-01-01T00:00:00Z
Which tag is used for a description/definition in a description list?,<dd>,<dt>,<dl>,<desc>,A,2024-01-01T00:00:00Z
