questionText,optionA,optionB,optionC,optionD,correctAnswer
You want to write your name on Microsoft Word. What do you do first?,Print the page,Click on the white page area and start typing,Draw a picture,Close the computer,B
You finished typing your name and want to keep it safe. What do you do?,Turn off the computer,Click the Save button,Delete what you typed,Open a new window,B
You made a spelling mistake while typing. What is the easiest way to fix it?,Print the page,Close Microsoft Word,Press Backspace to delete the mistake and retype it correctly,Restart the computer,C
You want your heading to look bigger than the other words. What should you do?,Delete the other words,Make the heading text size larger,Change the page color,Add a picture,B
You want to start writing on a new line. Which key do you press?,Backspace,Spacebar,Caps Lock,Enter,D
You want to write a sentence but all your letters are coming out as CAPITALS. Which key do you press to fix this?,Enter,Backspace,Caps Lock,Delete,C
You typed a sentence and want to make one word darker and thicker. What do you click?,The U button,The I button,The B button,The Save button,C
You want to put a space between two words that are joined together like 'MicrosoftWord'. What key do you press between them?,Enter,Delete,Backspace,Spacebar,D
You want to type the title of your work at the top of the page. Where do you click before typing?,At the bottom of the page,In the middle of the page,At the top of the page,On the toolbar,C
You have finished typing a short story and your teacher wants a printed copy. What button do you click?,Save,Undo,Print,Close,C
You drew a line under some words by mistake. How do you remove it?,Press Enter,Select the words and click the U button to turn off underline,Close the document,Press Spacebar,B
You want to add your school name and your name at the top of every page automatically. Which feature do you use?,Footer,Bold text,Header,Font size,C
You want to type a list of your favorite fruits with each fruit on its own line. What key do you press after each fruit?,Spacebar,Backspace,Caps Lock,Enter,D
You accidentally deleted a word you needed. What do you press to bring it back?,Ctrl+S,Ctrl+P,Ctrl+Z,Ctrl+C,C
You want to make some words have a line under them to make them stand out. Which button do you click?,B,I,U,S,C
Your teacher asks you to change the text in your work to size 14. Where do you make this change?,The Save button,The Font Size box on the toolbar,The Print button,The Undo button,B
You want to copy your name and paste it somewhere else in the document. What do you press to copy it?,Ctrl+V,Ctrl+Z,Ctrl+P,Ctrl+C,D
You finished copying your name. What do you press to paste it in the new place?,Ctrl+C,Ctrl+Z,Ctrl+V,Ctrl+S,C
You want to change the color of your title to red. What should you do?,Press Enter,Select the title text then click the Font Color button and choose red,Press Backspace,Click the Save button,B
You want to count how many words you have typed in your document. Where do you look?,The Print button,The Save button,The bottom bar of Microsoft Word which shows Word Count,The Undo button,C
