questionText,optionA,optionB,optionC,optionD,correctAnswer
You want to type a school report in Microsoft Word. What is the first thing you should do?,Start printing,Open Microsoft Word and create a new document,Open a spreadsheet,Search the internet,B
You have finished typing your document and want to keep it safe. What should you do?,Close the window immediately,Press Ctrl+S to save your document,Delete and retype it tomorrow,Print it first before saving,B
You typed a wrong word in your document. What is the easiest way to remove it?,Close the document without saving,Select the word and press Delete or Backspace,Print the document and cross it out,Restart Microsoft Word,B
You want your document title to stand out from the rest of the text. What would you do?,Delete the other text,Make the title text larger and bold,Change the page color,Add a table,B
You notice a red wavy line under a word you typed. What does this mean?,The text is bold,The word is a heading,The word may be spelled incorrectly,The font size is too small,C
You want to move a paragraph from the bottom of your document to the top. What is the best way to do this?,Retype it at the top and delete the original,Use Cut and Paste to move it,Print the document and rewrite it,Delete the paragraph,A
You are typing a list of items and want each item to appear on its own line with a bullet point. Which feature should you use?,Tables,Bullet List,Bold text,Page Borders,B
You want every page of your document to show your name at the top. Which feature should you use?,Footer,Watermark,Header,Page Number,C
You want to change the font of your entire document to Arial. What should you do first?,Click on one word,Click File then Save,Press Ctrl+A to select all text then change the font,Close and reopen the document,C
You need to submit a 2-page report but accidentally typed everything on one page. What should you do?,Reduce the font to size 1,Insert a Page Break to separate the content into two pages,Print and cut the page in half,Delete half the content,B
You want to make your document look neat by adjusting the blank space around the edges of the page. Which setting should you change?,Font size,Line spacing,Page margins,Page color,C
You copied text from a website and pasted it into Word but the formatting looks messy. What is the best thing to do?,Leave it as it is,Delete everything and start over,Use Paste Special and choose Keep Text Only,Change the font color,C
You want to count how many words are in your essay. Where do you find this in Microsoft Word?,Insert tab,Review tab then Word Count,Home tab,File tab then Print,B
You are writing a story and want to add an image to make it more interesting. Where do you go to insert a picture?,Home tab,View tab,References tab,Insert tab then Pictures,D
You want to send your Microsoft Word document to a teacher who uses a different device. Which format should you save it in to make sure they can open it?,Only .docx,Only .txt,.pdf so anyone can open it without formatting issues,.pptx,C
You accidentally deleted a whole paragraph. What is the quickest way to get it back?,Retype the entire paragraph,Close the document without saving,Press Ctrl+Z to undo the action,Call for help,C
You want all the body text in your document to be double-spaced for easy reading. Which setting controls this?,Font size,Bold button,Line spacing,Page margin,C
You finished your document and want to check for spelling mistakes before printing. What feature should you use?,Word Count,Print Preview,Spell Check under the Review tab,Format Painter,C
You want to organize information like a student timetable inside your Word document. What is the best feature to use?,Bullet points,A Table,A header,A footnote,B
You want to see exactly how your document will look before printing it. Which option should you use?,View tab then Zoom,File then Print Preview,Insert then Header,Home then Bold,B
